ID;Geslacht;LeeftijdOp31December;Perioden;Overledenen_1
0;T001038;10000;1971X000;1100
1;T001038;10000;1971W101;2458
2;T001038;10000;1971W102;2374
3;T001038;10000;1971W103;2294
4;T001038;10000;1971W104;2163
5;T001038;10000;1971W105;2154
6;T001038;10000;1971W106;2107
7;T001038;10000;1971W107;2103
8;T001038;10000;1971W108;2105
9;T001038;10000;1971W109;2154
10;T001038;10000;1971W110;2231
11;T001038;10000;1971W111;2234
12;T001038;10000;1971W112;2089
13;T001038;10000;1971W113;2147
14;T001038;10000;1971W114;2167
15;T001038;10000;1971W115;2190
16;T001038;10000;1971W116;2131
17;T001038;10000;1971W117;2072
18;T001038;10000;1971W118;2155
19;T001038;10000;1971W119;2143
20;T001038;10000;1971W120;1999
21;T001038;10000;1971W121;1915
22;T001038;10000;1971W122;2134
23;T001038;10000;1971W123;1982
24;T001038;10000;1971W124;1987
25;T001038;10000;1971W125;2054
26;T001038;10000;1971W126;1963
27;T001038;10000;1971W127;2267
28;T001038;10000;1971W128;2028
29;T001038;10000;1971W129;1988
30;T001038;10000;1971W130;1998
31;T001038;10000;1971W131;1973
32;T001038;10000;1971W132;1905
33;T001038;10000;1971W133;2029
34;T001038;10000;1971W134;1801
35;T001038;10000;1971W135;1979
36;T001038;10000;1971W136;1907
37;T001038;10000;1971W137;1993
38;T001038;10000;1971W138;2046
39;T001038;10000;1971W139;1981
40;T001038;10000;1971W140;2032
41;T001038;10000;1971W141;2010
42;T001038;10000;1971W142;2263
43;T001038;10000;1971W143;2159
44;T001038;10000;1971W144;2126
45;T001038;10000;1971W145;2185
46;T001038;10000;1971W146;2052
47;T001038;10000;1971W147;2242
48;T001038;10000;1971W148;2266
49;T001038;10000;1971W149;2142
50;T001038;10000;1971W150;2209
51;T001038;10000;1971W151;2363
52;T001038;10000;1971W152;1694
53;T001038;10000;1971JJ00;110243
54;T001038;10000;1972X000;730
55;T001038;10000;1972W101;2447
56;T001038;10000;1972W102;2433
57;T001038;10000;1972W103;2575
58;T001038;10000;1972W104;2442
59;T001038;10000;1972W105;2545
60;T001038;10000;1972W106;2424
61;T001038;10000;1972W107;2313
62;T001038;10000;1972W108;2272
63;T001038;10000;1972W109;2269
64;T001038;10000;1972W110;2177
65;T001038;10000;1972W111;2229
66;T001038;10000;1972W112;2153
67;T001038;10000;1972W113;2108
68;T001038;10000;1972W114;2169
69;T001038;10000;1972W115;2117
70;T001038;10000;1972W116;1961
71;T001038;10000;1972W117;2044
72;T001038;10000;1972W118;2084
73;T001038;10000;1972W119;2064
74;T001038;10000;1972W120;2065
75;T001038;10000;1972W121;2083
76;T001038;10000;1972W122;2134
77;T001038;10000;1972W123;2086
78;T001038;10000;1972W124;2045
79;T001038;10000;1972W125;2019
80;T001038;10000;1972W126;2100
81;T001038;10000;1972W127;1996
82;T001038;10000;1972W128;2043
83;T001038;10000;1972W129;2567
84;T001038;10000;1972W130;2015
85;T001038;10000;1972W131;1937
86;T001038;10000;1972W132;2059
87;T001038;10000;1972W133;1987
88;T001038;10000;1972W134;1923
89;T001038;10000;1972W135;2070
90;T001038;10000;1972W136;2055
91;T001038;10000;1972W137;2054
92;T001038;10000;1972W138;2073
93;T001038;10000;1972W139;1996
94;T001038;10000;1972W140;2201
95;T001038;10000;1972W141;2119
96;T001038;10000;1972W142;2110
97;T001038;10000;1972W143;2159
98;T001038;10000;1972W144;2069
99;T001038;10000;1972W145;2022
100;T001038;10000;1972W146;2188
101;T001038;10000;1972W147;2112
102;T001038;10000;1972W148;2313
103;T001038;10000;1972W149;2269
104;T001038;10000;1972W150;2290
105;T001038;10000;1972W151;2317
106;T001038;10000;1972W152;2544
107;T001038;10000;1972JJ00;113576
108;T001038;10000;1973W101;3156
109;T001038;10000;1973W102;2899
110;T001038;10000;1973W103;2611
111;T001038;10000;1973W104;2320
112;T001038;10000;1973W105;2301
113;T001038;10000;1973W106;2199
114;T001038;10000;1973W107;2115
115;T001038;10000;1973W108;2117
116;T001038;10000;1973W109;2139
117;T001038;10000;1973W110;2075
118;T001038;10000;1973W111;2062
119;T001038;10000;1973W112;2188
120;T001038;10000;1973W113;2050
121;T001038;10000;1973W114;2042
122;T001038;10000;1973W115;2072
123;T001038;10000;1973W116;2061
124;T001038;10000;1973W117;2081
125;T001038;10000;1973W118;2061
126;T001038;10000;1973W119;1984
127;T001038;10000;1973W120;2040
128;T001038;10000;1973W121;2066
129;T001038;10000;1973W122;2070
130;T001038;10000;1973W123;1946
131;T001038;10000;1973W124;1987
132;T001038;10000;1973W125;2071
133;T001038;10000;1973W126;2279
134;T001038;10000;1973W127;2102
135;T001038;10000;1973W128;1964
136;T001038;10000;1973W129;1923
137;T001038;10000;1973W130;1965
138;T001038;10000;1973W131;2127
139;T001038;10000;1973W132;1914
140;T001038;10000;1973W133;2146
141;T001038;10000;1973W134;1940
142;T001038;10000;1973W135;1965
143;T001038;10000;1973W136;1990
144;T001038;10000;1973W137;1895
145;T001038;10000;1973W138;1982
146;T001038;10000;1973W139;2015
147;T001038;10000;1973W140;2040
148;T001038;10000;1973W141;2013
149;T001038;10000;1973W142;2191
150;T001038;10000;1973W143;2054
151;T001038;10000;1973W144;2096
152;T001038;10000;1973W145;2039
153;T001038;10000;1973W146;2043
154;T001038;10000;1973W147;2057
155;T001038;10000;1973W148;2124
156;T001038;10000;1973W149;2196
157;T001038;10000;1973W150;2154
158;T001038;10000;1973W151;2237
159;T001038;10000;1973W152;2173
160;T001038;10000;1973W153;345
161;T001038;10000;1973JJ00;110682
162;T001038;10000;1974W101;1981
163;T001038;10000;1974W102;2274
164;T001038;10000;1974W103;2218
165;T001038;10000;1974W104;2269
166;T001038;10000;1974W105;2260
167;T001038;10000;1974W106;2266
168;T001038;10000;1974W107;2209
169;T001038;10000;1974W108;2079
170;T001038;10000;1974W109;2198
171;T001038;10000;1974W110;2154
172;T001038;10000;1974W111;2280
173;T001038;10000;1974W112;2085
174;T001038;10000;1974W113;2164
175;T001038;10000;1974W114;2027
176;T001038;10000;1974W115;2084
177;T001038;10000;1974W116;2035
178;T001038;10000;1974W117;1997
179;T001038;10000;1974W118;2063
180;T001038;10000;1974W119;2062
181;T001038;10000;1974W120;2003
182;T001038;10000;1974W121;2049
183;T001038;10000;1974W122;2051
184;T001038;10000;1974W123;2067
185;T001038;10000;1974W124;2082
186;T001038;10000;1974W125;2070
187;T001038;10000;1974W126;1973
188;T001038;10000;1974W127;1957
189;T001038;10000;1974W128;1919
190;T001038;10000;1974W129;1969
191;T001038;10000;1974W130;1890
192;T001038;10000;1974W131;1958
193;T001038;10000;1974W132;1933
194;T001038;10000;1974W133;2129
195;T001038;10000;1974W134;1962
196;T001038;10000;1974W135;1964
197;T001038;10000;1974W136;1865
198;T001038;10000;1974W137;2133
199;T001038;10000;1974W138;2003
200;T001038;10000;1974W139;2157
201;T001038;10000;1974W140;2153
202;T001038;10000;1974W141;2122
203;T001038;10000;1974W142;2116
204;T001038;10000;1974W143;2107
205;T001038;10000;1974W144;2073
206;T001038;10000;1974W145;2204
207;T001038;10000;1974W146;2147
208;T001038;10000;1974W147;2102
209;T001038;10000;1974W148;2145
210;T001038;10000;1974W149;2140
211;T001038;10000;1974W150;2071
212;T001038;10000;1974W151;2167
213;T001038;10000;1974W152;2215
214;T001038;10000;1974W153;649
215;T001038;10000;1974JJ00;109250
216;T001038;10000;1975W101;1645
217;T001038;10000;1975W102;2319
218;T001038;10000;1975W103;2489
219;T001038;10000;1975W104;2468
220;T001038;10000;1975W105;2500
221;T001038;10000;1975W106;2484
222;T001038;10000;1975W107;2499
223;T001038;10000;1975W108;2341
224;T001038;10000;1975W109;2318
225;T001038;10000;1975W110;2179
226;T001038;10000;1975W111;2182
227;T001038;10000;1975W112;2168
228;T001038;10000;1975W113;2211
229;T001038;10000;1975W114;2134
230;T001038;10000;1975W115;2205
231;T001038;10000;1975W116;2144
232;T001038;10000;1975W117;2133
233;T001038;10000;1975W118;2072
234;T001038;10000;1975W119;2100
235;T001038;10000;1975W120;2052
236;T001038;10000;1975W121;2087
237;T001038;10000;1975W122;2119
238;T001038;10000;1975W123;2188
239;T001038;10000;1975W124;2260
240;T001038;10000;1975W125;2094
241;T001038;10000;1975W126;2035
242;T001038;10000;1975W127;1997
243;T001038;10000;1975W128;2100
244;T001038;10000;1975W129;2037
245;T001038;10000;1975W130;1891
246;T001038;10000;1975W131;2064
247;T001038;10000;1975W132;2876
248;T001038;10000;1975W133;2292
249;T001038;10000;1975W134;2027
250;T001038;10000;1975W135;2067
251;T001038;10000;1975W136;1986
252;T001038;10000;1975W137;2015
253;T001038;10000;1975W138;2061
254;T001038;10000;1975W139;2070
255;T001038;10000;1975W140;2057
256;T001038;10000;1975W141;2042
