Country,Data until,Type,Official,Excess,std,z,Undercount,Per 100k,Increase
Albania,Mar 31 2021,m,2200,9300,±810,11.4,4.2,320,43
Andorra,Dec 31 2020,m,80,80,±30,3.1,1.0,110,25
Argentina,Dec 31 2020,m,43000,41000,±nan,,1.0,90,12
Armenia,Apr 30 2021,m,4100,8300,±840,10.0,2.0,280,33
Aruba,Dec 31 2020,m,50,50,±30,1.5,1.0,50,7
Australia,Mar 28 2021,w,910,−3700,±1000,3.6,–,−10,−2
Austria,Jun 13 2021,w,10000,9800,±1400,7.0,0.9,110,12
Azerbaijan,Feb 28 2021,m,3200,18000,±1400,13.0,5.6,180,32
Belarus,Jun 30 2020,m,390,5700,±930,6.1,14.5,60,5
Belgium,Jun 13 2021,w,25000,16000,±1800,8.7,0.6,140,14
Bolivia,May 31 2021,m,14000,36000,±770,46.4,2.5,310,68
Bosnia,Mar 31 2021,m,6600,8900,±990,9.0,1.4,270,25
Brazil,May 31 2021,m,460000,500000,±14000,35.0,1.1,240,37
Bulgaria,Jun 20 2021,w,18000,32000,±1800,17.5,1.8,460,29
Canada,Mar 07 2021,w,22000,15000,±1700,8.6,0.7,40,5
Chile,Jun 13 2021,w,31000,30000,±1100,26.7,1.0,160,27
Colombia,May 09 2021,w,77000,92000,±1500,61.2,1.2,180,36
Costa Rica,Dec 31 2020,m,2200,940,±370,2.5,0.4,20,4
Croatia,May 30 2021,w,8000,8800,±1000,8.8,1.1,210,17
Cuba,Dec 31 2020,m,150,580,±2100,0.3,–,10,1
Cyprus,May 09 2021,w,330,340,±160,2.1,1.0,30,5
Czechia,May 23 2021,w,30000,35000,±1800,18.8,1.2,320,30
Denmark,Jun 20 2021,w,2500,−630,±610,1.0,–,−10,−1
Ecuador,Jun 20 2021,w,21000,62000,±960,64.4,2.9,350,80
Egypt,Nov 30 2020,m,6600,87000,±13000,6.9,13.1,90,16
El Salvador,Aug 31 2020,m,720,4700,±890,5.3,6.6,70,11
Estonia,Jun 27 2021,w,1300,1800,±300,6.0,1.4,140,12
Finland,Jun 13 2021,w,960,410,±680,0.6,0.4,10,1
France,Jun 13 2021,w,110000,72000,±8000,8.9,0.7,110,12
French Guiana,Jun 13 2021,w,130,−20,±60,0.3,–,−10,−2
French Polynesia,Dec 31 2020,m,110,120,±90,1.4,1.1,40,8
Georgia,Dec 31 2020,m,2500,4800,±1000,4.7,1.9,120,11
Germany,Jun 20 2021,w,90000,39000,±17000,2.3,0.4,50,4
Gibraltar,Jan 31 2021,m,80,20,±20,1.1,0.3,70,7
Greece,May 02 2021,w,10000,7500,±2000,3.8,0.7,70,6
Greenland,Dec 31 2020,m,0,−20,±30,0.5,–,−30,−3
Guadeloupe,Jun 13 2021,w,260,220,±110,2.0,0.8,60,6
Guatemala,Dec 27 2020,w,4800,10000,±700,14.5,2.1,60,12
Hong Kong,Mar 31 2021,m,200,2100,±1100,1.9,–,30,4
Hungary,May 30 2021,w,30000,24000,±2300,10.2,0.8,240,18
Iceland,Mar 21 2021,w,30,−20,±70,0.2,–,−0,−1
Iran,Sep 21 2020,q,24000,58000,±7900,7.3,2.4,70,15
Ireland,May 31 2021,m,5000,1400,±730,1.9,0.3,30,4
Israel,May 30 2021,w,6400,4800,±550,8.9,0.8,60,10
Italy,Apr 04 2021,w,110000,120000,±9000,13.9,1.1,210,19
Jamaica,Nov 30 2020,m,260,−320,±310,1.0,–,−10,−2
Japan,Apr 30 2021,m,10000,−15000,±12000,1.3,–,−10,−1
Kazakhstan,Apr 30 2021,m,6600,35000,±3400,10.3,5.3,180,26
Kosovo,Mar 31 2021,m,1900,2800,±310,8.9,1.5,150,30
Kyrgyzstan,Apr 30 2021,m,1600,7900,±670,11.8,4.9,120,24
Latvia,Jun 13 2021,w,2500,3000,±440,6.8,1.2,160,10
Lebanon,Apr 30 2021,m,7300,8900,±970,9.2,1.2,130,36
Liechtenstein,Apr 30 2021,m,60,50,±30,1.7,0.8,120,17
Lithuania,Jun 20 2021,w,4400,9500,±600,15.9,2.2,350,25
Luxembourg,Jun 06 2021,w,820,190,±140,1.4,0.2,30,4
Macao,Apr 30 2021,m,0,−40,±110,0.3,–,−10,−2
Malaysia,Mar 31 2021,m,1300,−6600,±1900,3.5,–,−20,−4
Malta,May 16 2021,w,420,360,±120,3.0,0.9,80,9
Martinique,Jun 13 2021,w,100,30,±110,0.3,0.3,10,1
Mauritius,Apr 30 2021,m,20,−440,±240,1.8,–,−30,−4
Mayotte,Jun 13 2021,w,170,320,±50,6.5,1.8,120,40
Mexico,May 23 2021,w,220000,470000,±6600,70.1,2.1,360,61
Moldova,Mar 31 2021,m,5000,8000,±880,9.0,1.6,200,22
Monaco,May 31 2021,m,30,120,±50,2.5,3.7,300,24
Mongolia,May 31 2021,m,280,−1900,±490,3.9,–,−60,−11
Montenegro,Mar 28 2021,w,1200,1400,±170,8.4,1.2,230,21
Netherlands,Jun 20 2021,w,18000,19000,±1900,9.8,1.1,110,12
New Zealand,Jun 06 2021,w,30,−1900,±410,4.7,–,−40,−5
Nicaragua,Aug 31 2020,m,140,7000,±270,26.0,50.8,100,27
North Macedonia,Apr 30 2021,m,4900,8600,±770,11.3,1.8,420,43
Norway,Jun 20 2021,w,790,−1500,±530,2.9,–,−30,−4
Oman,May 31 2021,m,2300,2200,±330,6.7,0.9,40,24
Panama,Apr 30 2021,m,6200,6500,±420,15.7,1.0,150,31
Paraguay,May 31 2021,m,9100,9600,±920,10.3,1.1,130,28
Peru,Jun 27 2021,w,190000,190000,±2000,95.9,1.0,590,153
Philippines,Dec 31 2020,m,9200,−7700,±5900,1.3,–,−10,−1
Poland,Jun 13 2021,w,75000,120000,±5500,21.1,1.6,310,28
Portugal,Jun 06 2021,w,17000,19000,±2100,9.0,1.1,180,16
Qatar,Apr 30 2021,m,460,650,±70,9.2,1.4,20,29
Romania,Apr 25 2021,w,31000,54000,±3500,15.3,1.7,280,20
Russia,Apr 30 2021,m,110000,500000,±33000,15.2,4.5,340,28
Réunion,Jun 13 2021,w,210,190,±130,1.5,0.9,20,4
San Marino,May 31 2021,m,90,110,±30,3.4,1.2,320,42
Serbia,May 31 2021,m,6900,28000,±3600,7.7,4.0,400,27
Seychelles,Dec 31 2020,m,0,−170,±40,4.1,–,−170,−20
Singapore,Mar 31 2021,m,30,−160,±380,0.4,–,−0,−1
Slovakia,May 16 2021,w,12000,17000,±920,18.1,1.4,310,30
Slovenia,May 23 2021,w,4700,3700,±370,10.0,0.8,180,17
South Africa,Jun 27 2021,w,60000,160000,±nan,,2.7,270,32
South Korea,May 02 2021,w,1800,−3300,±2900,1.1,–,−10,−1
Spain,Jun 20 2021,w,81000,87000,±6300,13.9,1.1,190,20
Sweden,Jun 06 2021,w,15000,8900,±1100,8.5,0.6,90,10
Switzerland,Jun 06 2021,w,10000,8600,±1100,8.0,0.8,100,13
Taiwan,May 31 2021,m,140,−6600,±5700,1.2,–,−30,−4
Tajikistan,Dec 31 2020,q,90,9000,±1400,6.6,100.0,90,27
Thailand,Jun 30 2021,m,2100,14000,±13000,1.1,–,20,3
Transnistria,May 31 2021,m,1200,1600,±240,6.4,1.3,340,23
Tunisia,Feb 14 2021,w,7500,4600,±1100,4.3,0.6,40,6
Ukraine,Apr 30 2021,m,44000,81000,±13000,6.4,1.8,200,14
United Kingdom,Jun 13 2021,w,130000,110000,±9200,11.9,0.9,160,18
United States,Jun 06 2021,w,590000,640000,±16000,38.9,1.1,190,22
Uruguay,Dec 31 2020,m,170,−2200,±710,3.2,–,−60,−6
Uzbekistan,Mar 31 2021,m,630,20000,±3900,5.0,31.5,60,13
